"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"player role",">","ultimatum game offer","none","","none","model","none","When the player gets to alternate between roles of proposer and responder, the equilibrium offer becomes a 50% share of the endowment","debove2016models"
"reputation concerns",">","ultimatum game offer","none","","none","model","none","Reputation of both proposers and responders become important in the partner choice framework, where one needs to maintain their reputation in order to be chosen as partners. This leads to the evolution of an equilibrium offer of 50% of the endowment","debove2016models"
"reputation concerns","^","equality as fairness","none","","none","model","none","","debove2016models"
"player role","^","equality as fairness","none","","none","model","none","","debove2016models"
"unpredictable behaviour",">","ultimatum game offer","none","","none","model","none","Unpredictable behavior (noisy strategy of play) by the responder means that proposer loses the chance of having their offers rejected. In such cases, offering a 50% split of endowment allows them to lessen this possibility of rejection","debove2016models"
"unpredictable behaviour","^","equality as fairness","none","","none","model","none","Noisy or unPredictable behaviour of responders, create a selection pressure on proposers to start offering equal and fair shares. The selection pressure is thus, stronger on the latter. This can also happen if instead of noisy play, there are random mutations which keep introducing demanding responders","debove2016models"
"spite",">","ultimatum game offer","none","","none","model","none","Inflicting larger cost on others than on oneself, by playing spiteful strategies, responders can influence the Offer made by proposers","debove2016models"
"population structure",">","ultimatum game offer","","","","","","","debove2016models"
"population structure","^","equality as fairness","none","","none","model","none","The spatial structure of population exerts a strong influence on the evolution of fairness","debove2016models"
"empathy",">","ultimatum game offer","none","","none","model","none","Proposers only make those offers, which they themselves would be happy to accept, were they the responder","debove2016models"
"empathy","^","equality as fairness","none","","none","","none","","debove2016models"
